"videostatsid","ytvideoid","views","comments","likes","dislikes","timestamp"
"332","pY8O7-mpdUk","1199546","3751","10646","1971","2019-04-15 05:15:20"
"333","BPExj-3kaAc","834204","7842","29632","433","2019-04-15 05:15:21"
"334","TW-kag5GG9s","633482","2811","22327","503","2019-04-15 05:15:21"
"335","zaWyIKas2Ww","236091","536","1404","50","2019-04-15 05:15:22"
"336","uv9kDcbJLi8","946295","2601","53078","991","2019-04-15 05:15:22"
"337","f2AuCmxtOSA","407873","2161","21251","336","2019-04-15 05:15:22"
"338","81UpjkAuHJM","345196","642","6093","272","2019-04-15 05:15:23"
"339","NJo8CjVpIEw","886783","2427","7918","1167","2019-04-15 05:15:23"
"340","NbhiGb_pZ-g","2247831","14628","123557","1867","2019-04-15 05:15:24"
"341","HkdPYRxYMdc","1444599","6359","56684","1851","2019-04-15 05:15:24"
"342","f5bJ5acwZtI","1984678","19076","211237","4169","2019-04-15 05:15:25"
